Facility ID,Latitude,Longitude,Building Count,Total Building Footprint,Building as % of Area,Footprint per building,Highway,Trunk Road,Primary Road,Secondary Road,Tertiary Road,Residential Road,Railway,Parking Lot,Residential Area,Commercial Area,Retail Area,Industrial Area,Railway Area,Cemetery,Woodland,Park,Recreation,Education,Health Care,Water,Beach
14727,40.7429138,-73.9930602,651,"537,547",1,826,0,0,0,898.67,6.28,13417.28,0,2441.26,0,0,0,0,0,1606.49,0,52162.94,0,40669.3,0,0,0
2244,40.7266074,-73.8524566,651,"331,079",0.65,509,0,0,18728.84,0,12139.96,230784.52,0,0,8509391.11,0,0,0,0,0,0,24536.32,4262.12,11085.82,10347.95,0,0
3950,18.4162559,-66.0562509,650,"197,627",0.39,304,0,0,9533.07,0,43878.53,213557.47,0,77038.56,1120276.91,0,0,0,0,0,0,4495.81,256.86,1563.51,864.9,0,0
9504,37.2658007,-121.8648318,649,"211,897",0.42,326,0,0,0,5597.35,1416.7,332543.58,0,9204.66,2843667.79,0,40412.54,0,0,0,0,31371.72,0,33793.03,0,0,0
20173,37.5518717,-77.4522688,648,"331,890",0.65,512,0,0,557.52,60.58,3484.43,3395.17,0,56244.85,3998759.62,0,46006.03,0,0,0,0,8038.8,810.64,146.06,0,0,0
12139,41.970007,-87.761829,648,"201,990",0.4,312,99350.68,0,0,1884.63,352.38,27168.61,449.85,26035.9,2826918.61,0,129346.23,21607.05,258228.1,0,3821.6,90072.39,11122.45,25275.67,0,0,0
7492,40.710529,-74.0710773,648,"181,762",0.36,280,0,0,0,23548.93,67049.8,59027.2,0,0,0,0,0,819633.89,0,0,0,128421.7,37021.16,0,0,0,0
15039,41.8942572,-87.7751053,647,"194,180",0.38,300,0,0,0,80.53,60.78,4421.3,0,26733.14,8853527.11,14601.29,2507.13,0,0,0,0,1682.03,714.37,0,78037.79,0,0
7388,42.4695558,-71.0683419,647,"131,008",0.26,202,0,0,0,69012.59,5129.81,214819.77,1416896.41,17220.23,0,0,0,0,0,0,15203.58,0,7147.8,37296.02,0,0,0
17060,45.5553705,-122.6821773,646,"182,565",0.36,283,71390.07,0,25555.29,14970.69,8645.12,16371.57,0,7048.4,2124682.53,0,14518.06,7025.21,0,0,64830.74,6475.11,2133.89,50825.96,0,0,0
20174,37.5526593,-77.4538252,645,"347,839",0.68,539,0,0,1082.41,8842.99,7012.68,3138.07,0,83511.67,3998759.62,0,112380.14,0,0,0,0,0,203.65,0,0,0,0
12156,41.8540943,-87.7344679,645,"345,095",0.68,535,0,0,0,530.45,66.79,712.67,65891.75,4150.98,1476237.12,0,0,762724.22,274382.13,0,0,5560,1363.66,79240.94,0,0,0
20162,37.5467381,-77.4436642,645,"270,468",0.53,419,0,582.25,968.55,644.39,817.24,1856.7,0,113562.67,618872.82,30154.65,9489.44,0,0,0,0,28716.31,9645.31,12437.49,1093.13,0,0
18447,39.8248373,-86.1472766,645,"166,260",0.33,258,0,0,743.91,3295.95,0,258223.2,0,41178.7,0,0,0,0,0,0,0,0,0,0,1233.35,0,0
7009,42.3420027,-71.146163,645,"189,321",0.37,294,0,0,156298.42,0,55916.97,322813.93,0,7150.42,117534.46,0,0,0,0,0,0,733.47,0,0,0,0,0
2075,40.6795698,-73.9043895,644,"235,327",0.46,365,0,0,8136.33,7971.51,1055.24,4701.28,22644.42,8849.45,0,0,0,0,96463.8,0,0,23927.48,19423.73,4706.98,0,0,0
9469,37.403645,-121.988985,642,"289,366",0.57,451,0,0,0,4376.04,0,477995.47,0,57303.5,450633.7,1251628.06,0,1719977.94,0,0,0,35809.34,1636.18,0,0,51201.46,0
